"HGME.ID","Parent Code","Book No.","Extract No.","Sample No.","Expt Date","Extraction Solvents","Replicate","Internal Standards?","Crude Wt / g","Tare / g","Final / g","Extract Wt / mg","Storage Location","Other Identifiers?","Notes"
"HGME_0107","HGMB_0017","MC01-24","Con_2n","MC01-24-Con_2n",2024-06-24,"MeOH/MTBE/H2O (2:2:1)","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  but note: no visible layers were formed"
"HGME_0108","HGMB_0018","MC01-24","Con_3n","MC01-24-Con_3n",2024-06-24,"MeOH/MTBE/H2O (2:2:1)","3","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  but note: no visible layers were formed"
"HGME_0109","HGMB_0001","MC01-26","614_1p","MC01-26-614_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-A1",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0110","HGMB_0002","MC01-26","614_2p","MC01-26-614_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-A2",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0111","HGMB_0003","MC01-26","614_3p","MC01-26-614_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-A3",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0112","HGMB_0004","MC01-26","64_1p","MC01-26-64_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-A4",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0113","HGMB_0005","MC01-26","64_2p","MC01-26-64_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-A5",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0114","HGMB_0006","MC01-26","64_3p","MC01-26-64_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-A6",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0115","HGMB_0007","MC01-26","86_1p","MC01-26-86_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-A7",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0116","HGMB_0008","MC01-26","86_2p","MC01-26-86_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-A8",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0117","HGMB_0009","MC01-26","86_3p","MC01-26-86_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-A9",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0118","HGMB_0010","MC01-26","301_1p","MC01-26-301_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-A10",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0119","HGMB_0011","MC01-26","301_2p","MC01-26-301_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-B1",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0120","HGMB_0012","MC01-26","301_3p","MC01-26-301_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-B2",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0121","HGMB_0013","MC01-26","565_1p","MC01-26-565_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-B3",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0122","HGMB_0014","MC01-26","565_2p","MC01-26-565_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-B4",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0123","HGMB_0015","MC01-26","565_3p","MC01-26-565_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-B5",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0124","HGMB_0016","MC01-26","Con_1p","MC01-26-Con_1p",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0","Fr1-Bx2-B6",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0125","HGMB_0017","MC01-26","Con_2p","MC01-26-Con_2p",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0","Fr1-Bx2-B7",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0126","HGMB_0018","MC01-26","Con_3p","MC01-26-Con_3p",2024-06-24,"EtOAc/IPA + 1% HCOOH","3","No",NA,NA,NA,"0","Fr1-Bx2-B8",NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0127","HGMB_0001","MC01-26","614_1n","MC01-26-614_1n",2024-06-24,"EtOAc/IPA + 1% HCOOH","1","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
"HGME_0128","HGMB_0002","MC01-26","614_2n","MC01-26-614_2n",2024-06-24,"EtOAc/IPA + 1% HCOOH","2","No",NA,NA,NA,"0",NA,NA,"p - polars, n - non-polars;  good layers formed"
